[2022-12-15 14:09:54,512][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   26.55846141  4.44851926   -5.71244897   33.05278829     1000
sample             num_guess   34.51100000  1.31752761   31.00000000   39.00000000     1000
sample           num_correct   34.41400000  1.27302946   31.00000000   38.00000000     1000
sample          correct_rate    0.99728747  0.01026300    0.91176471    1.00000000     1000
sample              bandwith    0.21569375  0.00823455    0.19375000    0.24375000     1000
sample          max_autocorr    0.49599421  0.12576865    0.17552182    0.86172027     1000
sample      detect_rate-0.75    0.02700000  0.16208331    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99718930  0.00000000    0.99718930    0.99718930        1
sample      overall_bandwith    0.21569375  0.00000000    0.21569375    0.21569375        1

