[2022-12-15 13:53:03,711][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   34.12100000  1.50610723   30.00000000   39.00000000     1000
sample             num_guess   34.26200000  1.51965654   30.00000000   39.00000000     1000
sample           num_correct   34.12400000  1.50420211   30.00000000   39.00000000     1000
sample          correct_rate    0.99603504  0.01000216    0.94285714    1.00000000     1000
sample              bandwith    0.21413750  0.00949785    0.18750000    0.24375000     1000
sample          max_autocorr    0.94487202  0.03758581    0.82839493    1.00000000     1000
sample      detect_rate-0.75    1.00000000  0.00000000    1.00000000    1.00000000     1000
sample  overall_correct_rate    0.99597221  0.00000000    0.99597221    0.99597221        1
sample      overall_bandwith    0.21413750  0.00000000    0.21413750    0.21413750        1

