[2022-12-15 14:45:11,068][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   35.81900000  1.50274382   30.00000000   40.00000000     1000
sample             num_guess   36.35900000  1.27519371   33.00000000   41.00000000     1000
sample           num_correct   36.05500000  1.31224045   32.00000000   40.00000000     1000
sample          correct_rate    0.99169414  0.01422068    0.91666667    1.00000000     1000
sample              bandwith    0.22724375  0.00796996    0.20625000    0.25625000     1000
sample        cyclone_attack    0.34100000  0.47404536    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99163893  0.00000000    0.99163893    0.99163893        1
sample      overall_bandwith    0.22724375  0.00000000    0.22724375    0.22724375        1

