[2022-12-15 15:08:06,349][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   26.64900000  1.32128687   23.00000000   31.00000000     1000
sample             num_guess   26.69100000  1.33922328   23.00000000   31.00000000     1000
sample           num_correct   26.67000000  1.32253544   23.00000000   31.00000000     1000
sample          correct_rate    0.99925544  0.00508688    0.96153846    1.00000000     1000
sample              bandwith    0.16681875  0.00837015    0.14375000    0.19375000     1000
sample        cyclone_attack    0.00000000  0.00000000    0.00000000    0.00000000     1000
sample  overall_correct_rate    0.99921322  0.00000000    0.99921322    0.99921322        1
sample      overall_bandwith    0.16681875  0.00000000    0.16681875    0.16681875        1

