,col
0, 1 
1, 1 
2, 0 
3, 1 
4, 1 
5, 1 
6, 1 
7, 0 
8, 0xc 
9, 0 
10, 0 
11, 0 
12, 0 
13, 1 
14, 0 
15, 0 
16, 0 
18, 1 
19, 1 
20, 1 
21, 1 
22, 1 
23, 1 
24, 1 
25, 1 
26, 0xa 
27, 0 
28, 0 
29, 1 
30, 0 
31, 0 
32, 0 
33, 0 
34, 0 
36, 1 
37, 1 
38, 1 
39, 1 
40, 1 
41, 1 
42, 1 
43, 1 
44, 0xf 
45, 0 
46, 0 
47, 0 
48, 0 
49, 0 
50, 0 
51, 0 
52, 1 
54, 1 
55, 1 
56, 1 
57, 1 
58, 1 
59, 1 
60, 0 
61, 1 
62, 0xd 
63, 0 
64, 0 
65, 0 
66, 0 
67, 0 
69, 0 
70, 0 
71, 0 
72, 1 
73, 0 
74, 1 
75, 1 
76, 1 
77, 0xf 
78, 0 
79, 0 
80, 0 
81, 0 
82, 0 
83, 0 
84, 0 
85, 1 
87, 1 
88, 0 
89, 1 
90, 1 
91, 1 
92, 0 
93, 1 
94, 1 
95, 0xd 
96, 0 
97, 0 
98, 0 
99, 0 
100, 0 
101, 1 
102, 0 
103, 0 
105, 0 
106, 1 
107, 1 
108, 1 
109, 1 
110, 0 
111, 1 
112, 1 
113, 0x8 
114, 1 
115, 0 
116, 0 
117, 0 
118, 0 
119, 0 
120, 0 
121, 0 
123, 1 
124, 1 
125, 1 
126, 1 
127, 1 
128, 1 
129, 1 
130, 1 
131, 0x9 
132, 0 
133, 1 
134, 0 
135, 0 
136, 0 
138, 1 
139, 0 
140, 1 
141, 1 
142, 1 
143, 1 
144, 1 
145, 1 
146, 0xb 
147, 0 
148, 0 
149, 0 
150, 1 
151, 0 
152, 0 
153, 0 
154, 0 
156, 1 
157, 1 
158, 1 
159, 1 
160, 1 
161, 1 
162, 1 
163, 1 
164, 0xa 
165, 0 
166, 0 
167, 1 
168, 0 
169, 0 
170, 0 
171, 0 
172, 0 
174, 0 
175, 1 
176, 1 
177, 1 
178, 1 
179, 1 
180, 0 
181, 1 
182, 0xe 
183, 0 
184, 0 
185, 0 
186, 0 
187, 0 
188, 0 
189, 1 
190, 0 
192, 1 
193, 1 
194, 1 
195, 1 
196, 1 
197, 1 
198, 1 
199, 1 
200, 0xc 
201, 0 
202, 0 
203, 0 
204, 0 
205, 1 
207, 0 
208, 1 
209, 0 
210, 1 
211, 1 
212, 1 
213, 1 
214, 1 
215, 0xb 
216, 0 
217, 0 
218, 0 
219, 1 
220, 0 
221, 0 
222, 0 
223, 0 
225, 1 
226, 1 
227, 1 
228, 1 
229, 1 
230, 1 
231, 1 
232, 1 
233, 0xd 
234, 0 
235, 0 
236, 0 
237, 0 
238, 0 
239, 1 
240, 0 
241, 0 
243, 1 
244, 1 
245, 0 
246, 1 
247, 1 
248, 0 
249, 1 
250, 1 
251, 0xf 
252, 0 
253, 0 
254, 0 
255, 0 
256, 0 
257, 0 
258, 0 
259, 1 
261, 1 
262, 1 
263, 1 
264, 1 
265, 1 
266, 1 
267, 1 
268, 1 
269, 0xb 
270, 0 
271, 0 
272, 0 
273, 1 
274, 0 
276, 1 
277, 1 
278, 1 
279, 1 
280, 1 
281, 1 
282, 1 
283, 0 
284, 0x9 
285, 0 
286, 1 
287, 0 
288, 0 
289, 0 
290, 0 
291, 0 
292, 0 
294, 1 
295, 0 
296, 1 
297, 0 
298, 1 
299, 0 
300, 1 
301, 1 
302, 0x9 
303, 0 
304, 1 
305, 0 
306, 0 
307, 0 
308, 0 
309, 0 
310, 0 
312, 0 
313, 1 
314, 0 
315, 1 
316, 1 
317, 1 
318, 1 
319, 1 
320, 0x9 
321, 0 
322, 1 
323, 0 
324, 0 
325, 0 
326, 0 
327, 0 
328, 0 
330, 0 
331, 0 
332, 0 
333, 1 
334, 1 
335, 1 
336, 0 
337, 1 
338, 0xb 
339, 0 
340, 0 
341, 0 
342, 1 
343, 0 
345, 1 
346, 0 
347, 1 
348, 1 
349, 1 
350, 1 
351, 1 
352, 1 
353, 0xc 
354, 0 
355, 0 
356, 0 
357, 0 
358, 1 
359, 0 
360, 0 
361, 0 
363, 1 
364, 0 
365, 1 
366, 1 
367, 1 
368, 1 
369, 1 
370, 1 
371, 0xd 
372, 0 
373, 0 
374, 0 
375, 0 
376, 0 
377, 1 
378, 0 
379, 0 
381, 1 
382, 1 
383, 1 
384, 1 
385, 0 
386, 1 
387, 1 
388, 1 
389, 0xf 
390, 0 
391, 0 
392, 0 
393, 0 
394, 0 
395, 0 
396, 0 
397, 1 
399, 1 
400, 0 
401, 0 
402, 1 
403, 0 
404, 1 
405, 0 
406, 1 
407, 0xe 
408, 0 
409, 0 
410, 0 
411, 0 
412, 0 
414, 1 
415, 1 
416, 0 
417, 1 
418, 0 
419, 1 
420, 1 
421, 0 
422, 0xd 
423, 0 
424, 0 
425, 0 
426, 0 
427, 0 
428, 1 
429, 0 
430, 0 
432, 1 
433, 0 
434, 0 
435, 1 
436, 1 
437, 1 
438, 0 
439, 1 
440, 0xe 
441, 0 
442, 0 
443, 0 
444, 0 
445, 0 
446, 0 
447, 1 
448, 0 
450, 1 
451, 1 
452, 1 
453, 0 
454, 1 
455, 1 
456, 1 
457, 1 
458, 0xb 
459, 0 
460, 0 
461, 0 
462, 1 
463, 0 
464, 0 
465, 0 
466, 0 
468, 1 
469, 1 
470, 1 
471, 0 
472, 1 
473, 0 
474, 0 
475, 1 
476, 0xe 
477, 0 
478, 0 
479, 0 
480, 0 
481, 0 
483, 1 
484, 1 
485, 1 
486, 1 
487, 1 
488, 1 
489, 0 
490, 1 
491, 0xc 
492, 0 
493, 0 
494, 0 
495, 0 
496, 1 
497, 0 
498, 0 
499, 0 
501, 0 
502, 0 
503, 1 
504, 1 
505, 1 
506, 1 
507, 1 
508, 1 
509, 0x8 
510, 1 
511, 0 
512, 0 
513, 0 
514, 0 
515, 0 
516, 0 
517, 0 
519, 1 
520, 1 
521, 0 
522, 0 
523, 1 
524, 1 
525, 1 
526, 1 
527, 0xc 
528, 0 
529, 0 
530, 0 
531, 0 
532, 1 
533, 0 
534, 0 
535, 0 
537, 1 
538, 1 
539, 0 
540, 0 
541, 0 
542, 1 
543, 1 
544, 1 
545, 0x9 
546, 0 
547, 1 
548, 0 
549, 0 
550, 0 
552, 1 
553, 0 
554, 1 
555, 1 
556, 0 
557, 0 
558, 1 
559, 1 
560, 0x8 
561, 1 
562, 0 
